""
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
2,10,4,0.1,hard_sigmoid,selu,adamax,0.18882085543549765,8.462550365242786
3,20,2,0.2,hard_sigmoid,selu,adamax,0.20278784036558073,8.792244467943021
4,10,3,0.0,hard_sigmoid,sigmoid,rmsprop,0.2035798384037639,9.055797210091118
5,10,3,0.0,hard_sigmoid,selu,rmsprop,0.1966038934916547,9.432897876228619
6,20,2,0.1,hard_sigmoid,selu,adamax,0.2117470881329759,9.806224291179953
7,10,2,0.2,hard_sigmoid,selu,adamax,0.3637931331785367,23.138309507612608
8,20,3,0.0,hard_sigmoid,sigmoid,adamax,0.6590628720481834,42.09696245621001
9,10,3,0.1,hard_sigmoid,sigmoid,adamax,0.6929870756948058,44.486303303492406
0,10,2,0.2,hard_sigmoid,selu,rmsprop,0.1715735171837283,7.452317518456142
1,20,3,0.1,hard_sigmoid,selu,rmsprop,0.1985545090911939,7.726669813268888
2,10,2,0.2,hard_sigmoid,selu,adamax,0.18882085543549765,8.462550365242786
